N,X,Y,Z,W
2,0.16666666666666705,0.3333333333333332,0.3333333333333333,0.1666666666666665
3,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
4,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
5,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
6,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
7,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
8,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
9,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
10,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
11,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
12,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
13,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
14,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
15,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
16,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
17,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
18,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
19,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
20,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
21,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
22,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
23,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
24,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
25,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
26,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
27,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
28,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
29,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
30,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
31,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
32,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
33,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
34,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
35,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
36,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
37,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
38,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
39,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
40,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
41,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
42,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
43,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
44,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
45,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
46,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
47,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
48,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
49,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
50,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
51,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
52,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
53,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
