N,X,Y,Z,V
2,0.25000000000000017,0.33333333333333326,0.3333333333333333,0.08333333333333336
3,0.25000000000000017,0.33333333333333326,0.3333333333333333,0.08333333333333336
4,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
5,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
6,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
7,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
8,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
9,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
10,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
11,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
12,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
13,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
14,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
15,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
16,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
17,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
18,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
19,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
20,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
21,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
22,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
23,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
24,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
25,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
26,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
27,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
28,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
29,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
30,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
31,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
32,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
33,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
34,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
35,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
36,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
37,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
38,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
39,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
40,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
41,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
42,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
43,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
44,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
45,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
46,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
47,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
48,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
49,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
50,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
51,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
52,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
