alpha,X,Y,Z,W'
0.0,0.16666666666666685,0.33333333333333376,0.33333333333333304,0.16666666666666635
0.01,0.16666666666666685,0.33333333333333376,0.33333333333333304,0.16666666666666635
0.02,0.16666666666666685,0.33333333333333376,0.33333333333333304,0.16666666666666635
0.03,0.16666666666666685,0.33333333333333376,0.33333333333333304,0.16666666666666635
0.04,0.16666666666666685,0.33333333333333376,0.33333333333333304,0.16666666666666635
0.05,0.16666666666666685,0.33333333333333376,0.33333333333333304,0.16666666666666635
0.06,0.16666666666666685,0.33333333333333376,0.33333333333333304,0.16666666666666635
0.07,0.16666666666666685,0.33333333333333376,0.33333333333333304,0.16666666666666635
0.08,0.16666666666666685,0.33333333333333376,0.33333333333333304,0.16666666666666635
0.09,0.16666666666666685,0.33333333333333376,0.33333333333333304,0.16666666666666635
0.1,0.16666666666666685,0.33333333333333376,0.33333333333333304,0.16666666666666635
0.11,0.16666666666666685,0.33333333333333376,0.33333333333333304,0.16666666666666635
0.12,0.16666666666666685,0.33333333333333376,0.33333333333333304,0.16666666666666635
0.13,0.16666666666666685,0.33333333333333376,0.33333333333333304,0.16666666666666635
0.14,0.16666666666666685,0.33333333333333376,0.33333333333333304,0.16666666666666635
0.15,0.16666666666666685,0.33333333333333376,0.33333333333333304,0.16666666666666635
0.16,0.16666666666666685,0.33333333333333376,0.33333333333333304,0.16666666666666635
0.17,0.16666666666666685,0.33333333333333376,0.33333333333333304,0.16666666666666635
0.18,0.16666666666666685,0.33333333333333376,0.33333333333333304,0.16666666666666635
0.19,0.16666666666666685,0.33333333333333376,0.33333333333333304,0.16666666666666635
0.2,0.16666666666666685,0.33333333333333376,0.33333333333333304,0.16666666666666635
0.21,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
0.22,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
0.23,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
0.24,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
0.25,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
0.26,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
