c,X,Y,Z,W'
0.9,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
1.0,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
1.1,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
1.2,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
1.3,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
1.4,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
1.5,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
1.6,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
1.7,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
1.8,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
1.9,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
2.0,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
2.1,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
2.2,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
2.3,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
2.4,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
2.5,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
2.6,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
2.7,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
2.8,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
2.9,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
3.0,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
3.1,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
3.2,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
3.3,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
3.4,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
3.5,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
3.6,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
3.7,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
3.8,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
3.9,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
4.0,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
4.1,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
4.2,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
4.3,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
4.4,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
4.5,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
4.6,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
4.7,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
