B,X,Y,Z,V'
0.0,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
0.05,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
0.1,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
0.15,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
0.2,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
0.25,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
0.3,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
0.35,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
0.4,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
0.45,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
0.5,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
0.55,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
0.6,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
0.65,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
0.7,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
0.75,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
0.8,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
0.85,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
0.9,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
0.95,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
1.0,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
1.05,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
1.1,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
1.15,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
1.2,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
1.25,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
1.3,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
1.35,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
1.4,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
1.45,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
1.5,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
1.55,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
1.6,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
1.65,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
1.7,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
1.75,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
1.8,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
1.85,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
1.9,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
1.95,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
2.0,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
2.05,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
2.1,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
2.15,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
2.2,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
2.25,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
2.3,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
2.35,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
2.4,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
2.45,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
2.5,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
