gamma,X,Y,Z,V'
0.0,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
0.05,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
0.1,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
0.15,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
0.2,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
0.25,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
0.3,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
0.35,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
0.4,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
0.45,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
0.5,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
0.55,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
0.6,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
0.65,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
0.7,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
0.75,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
0.8,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
0.85,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
0.9,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
0.95,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
