G,X,Y,Z,W
0.0,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
0.05,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
0.1,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
0.15,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
0.2,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
0.25,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
0.3,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
0.35,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
0.4,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
0.45,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
0.5,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
0.55,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
0.6,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
0.65,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
0.7,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
0.75,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
0.8,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
0.85,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
0.9,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
0.95,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
