G,X,Y,Z,V
0.0,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
0.05,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
0.1,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
0.15,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
0.2,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
0.25,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
0.3,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
0.35,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
0.4,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
0.45,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
0.5,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
0.55,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
0.6,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
0.65,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
0.7,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
0.75,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
0.8,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
0.85,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
0.9,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
0.95,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
