N,X,Y,Z,V'
2,0.2500000000000001,0.3333333333333333,0.33333333333333326,0.08333333333333333
3,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
4,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
5,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
6,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
7,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
8,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
9,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
10,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
11,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
12,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
13,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
14,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
15,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
16,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
17,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
18,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
19,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
20,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
21,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
22,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
23,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
24,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
25,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
26,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
27,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
28,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
29,0.28571428571428553,0.285714285714286,0.2857142857142858,0.14285714285714265
