s,X,Y,Z,V'
0.0001,0.24974523223822376,0.25030695083885246,0.24985321096611143,0.2500946059568124
0.00014563484775012445,0.24962847454189885,0.25044664323849697,0.2497871127672042,0.2501377694523999
0.00021209508879201905,0.2494578832264163,0.25064964741382517,0.24969184499984573,0.25020062435991286
0.00030888435964774815,0.24920828780866608,0.25094434753955985,0.24955521632541736,0.25029214832635666
0.0004498432668969444,0.2488423770213097,0.251371489221269,0.24936071422868838,0.25042541952873293
0.0006551285568595509,0.24830447347990192,0.2519890752806488,0.24908695580006265,0.2506194954393867
0.0009540954763499944,0.24751082254268092,0.2528785610297448,0.24870840242849293,0.2509022139990814
0.0013894954943731374,0.24633429896595496,0.2541515711968433,0.24819971401025342,0.2513144158269483
0.0020235896477251557,0.24458046541796113,0.25595402692566993,0.24754877713908638,0.2519167305172825
0.0029470517025518097,0.24195161050514694,0.25845792616027474,0.2467889704001454,0.25280149293443294
0.004291934260128779,0.23799950885792678,0.261813491568589,0.2460698605457286,0.2541171390277556
0.0062505519252739694,0.2320887088645565,0.26599261863455503,0.2457914107706158,0.25612726173027267
0.009102981779915217,0.22345748189665474,0.27037909910981245,0.246792103205708,0.2593713157878249
0.013257113655901081,0.21157162371399527,0.27294253241037963,0.2503806142836408,0.2651052295919844
0.019306977288832496,0.1968041477535481,0.269351426608345,0.25749403291506473,0.2763503927230422
0.02811768697974228,0.1802389594667996,0.2539143558265402,0.266163452343875,0.2996832323627851
0.040949150623804234,0.16080968449809055,0.22357171444117857,0.2686597548670763,0.3469588461936546
0.05963623316594643,0.13341127830851113,0.17943533500841471,0.25152917562666816,0.435624211056406
0.08685113737513521,0.09384661647294444,0.12329929202139546,0.20031607440327778,0.5825380171023823
0.12648552168552957,0.048085600515821246,0.06280749412033525,0.11686501325496336,0.7722418921088802
0.18420699693267145,0.014746266762431175,0.01941892452766727,0.0409662669446269,0.9248685417652747
0.2682695795279725,0.0022932050940923953,0.0030810444752843737,0.0072854346471607125,0.9873403157834625
0.3906939937054613,0.00015347535502415063,0.00021271761297371138,0.0005553216597803497,0.9990784853722217
0.5689866029018293,3.3244508261809083e-06,4.795200012314109e-06,1.3559631622028665e-05,0.9999783207175394
0.8286427728546842,1.4509442314292397e-08,2.1888590301389106e-08,6.557072826374282e-08,0.9999998980312392
1.2067926406393288,0.0,0.0,0.0,1.0
1.7575106248547894,0.0,0.0,0.0,1.0
2.559547922699533,0.0,0.0,0.0,1.0
3.727593720314938,0.0,0.0,0.0,1.0
5.428675439323859,0.0,0.0,0.0,1.0
7.9060432109076855,0.0,0.0,0.0,1.0
11.513953993264458,0.0,0.0,0.0,1.0
16.768329368110066,0.0,0.0,0.0,1.0
24.420530945486497,0.0,0.0,0.0,1.0
35.564803062231285,0.0,0.0,0.0,1.0
51.79474679231202,0.0,0.0,0.0,1.0
75.43120063354607,0.0,0.0,0.0,1.0
109.85411419875572,0.0,0.0,0.0,1.0
159.98587196060572,0.0,0.0,0.0,1.0
232.99518105153672,0.0,0.0,0.0,1.0
339.3221771895323,0.0,0.0,0.0,1.0
494.1713361323828,0.0,0.0,0.0,1.0
719.6856730011514,0.0,0.0,0.0,1.0
1048.1131341546852,0.0,0.0,0.0,1.0
1526.4179671752302,0.0,0.0,0.0,1.0
2222.996482526191,0.0,0.0,0.0,1.0
3237.45754281764,0.0,0.0,0.0,1.0
4714.8663634573895,0.0,0.0,0.0,1.0
6866.488450042998,0.0,0.0,0.0,1.0
10000.0,0.0,0.0,0.0,1.0
