M,X,Y,Z,V
5,0.2500000000000002,0.07142857142857154,0.24999999999999994,0.4285714285714284
10,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
15,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
20,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
25,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
30,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
35,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
40,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
45,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
50,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
55,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
60,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
65,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
70,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
75,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
80,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
85,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
90,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
95,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
100,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
105,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
110,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
115,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
120,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
125,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
130,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
135,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
140,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
145,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
150,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
155,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
160,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
165,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
170,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
175,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
180,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
185,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
190,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
195,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
