B,X,Y,Z,V,W
0.0,0.01851851851851872,0.02083333333333314,0.013888888888888184,0.0023148148148149053,0.9444444444444452
0.05,0.01851851851851872,0.02083333333333314,0.013888888888888184,0.0023148148148149053,0.9444444444444452
0.1,0.01851851851851872,0.02083333333333314,0.013888888888888184,0.0023148148148149053,0.9444444444444452
0.15,0.01851851851851872,0.02083333333333314,0.013888888888888184,0.0023148148148149053,0.9444444444444452
0.2,0.01851851851851872,0.02083333333333314,0.013888888888888184,0.0023148148148149053,0.9444444444444452
0.25,0.01851851851851872,0.02083333333333314,0.013888888888888184,0.0023148148148149053,0.9444444444444452
0.3,0.01851851851851872,0.02083333333333314,0.013888888888888184,0.0023148148148149053,0.9444444444444452
0.35,0.01851851851851872,0.02083333333333314,0.013888888888888184,0.0023148148148149053,0.9444444444444452
0.4,0.01851851851851872,0.02083333333333314,0.013888888888888184,0.0023148148148149053,0.9444444444444452
0.45,0.01857585139318695,0.01857585139318589,0.01238390092879016,0.0030959752321977445,0.9473684210526392
0.5,0.01857585139318695,0.01857585139318589,0.01238390092879016,0.0030959752321977445,0.9473684210526392
0.55,0.01857585139318695,0.01857585139318589,0.01238390092879016,0.0030959752321977445,0.9473684210526392
0.6,0.01857585139318695,0.01857585139318589,0.01238390092879016,0.0030959752321977445,0.9473684210526392
0.65,0.01857585139318695,0.01857585139318589,0.01238390092879016,0.0030959752321977445,0.9473684210526392
0.7,0.01857585139318695,0.01857585139318589,0.01238390092879016,0.0030959752321977445,0.9473684210526392
0.75,0.01857585139318695,0.01857585139318589,0.01238390092879016,0.0030959752321977445,0.9473684210526392
0.8,0.01857585139318695,0.01857585139318589,0.01238390092879016,0.0030959752321977445,0.9473684210526392
0.85,0.01857585139318695,0.01857585139318589,0.01238390092879016,0.0030959752321977445,0.9473684210526392
0.9,0.01857585139318695,0.01857585139318589,0.01238390092879016,0.0030959752321977445,0.9473684210526392
0.95,0.01857585139318695,0.01857585139318589,0.01238390092879016,0.0030959752321977445,0.9473684210526392
